championship_similarity_rank,season,team,championship_similarity_score,mahalanobis_distance,mahalanobis_distance_squared,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
1,2024,Utah State,0,18.093199372134738,327.3638635198169,-7.421369552772771,-6.354576715601788,9.268815343114813,10.664716990814876,2.785835551934633,-5.968012690578415,-4.600573104585218,7.223233626800417
2,2024,Baylor,0,20.79543477513962,432.4501074870861,3.505101656641236,-1.540825700287987,0.8522186244379313,11.305167242397973,8.041485376956382,-5.46461777542017,12.480792027933814,3.8580189055492724
3,2024,Boise State,0,21.87784319215912,478.6400227407031,-14.45159787703641,-3.2925836727073583,12.927117885666243,-3.94505778605912,7.339665172102705,-10.971225900858014,1.115808080554204,-9.464866803104877
4,2024,Arizona,0,22.435996843371573,503.3739543557791,-7.31205743824814,-9.695777914176654,4.8613362356583085,-6.7021843602043525,10.04731855879053,-14.128941342531503,2.790814269800037,8.843260954667155
5,2024,South Dakota State,0,26.4159231790224,697.8009974000129,-0.5493551395366938,-0.208809010488518,28.406066350801495,12.111029803208133,-0.9968490895969477,-1.0084736769981069,1.0387190719121238,1.817687438287651
6,2024,Akron,0,26.84424998406855,720.6137572071643,-12.88985082627528,-1.5637420454194635,22.936906243590368,6.567563377880791,10.224910519029585,-8.80696592374564,5.169640350206052,-5.890128135609061
7,2024,Florida Atlantic,0,27.28245027473586,744.3320929934349,-1.0604512872764091,-0.615506718253087,18.781034588447575,6.8258690612491435,13.660533769526392,-15.343011015511863,0.6003537711636663,1.5194393433536955
8,2024,Texas,0,27.630763684359167,763.4591017809013,-15.825001453211057,0.20151269373775682,10.683058010932541,12.365748267401163,18.108038394694645,-3.8449415378066343,7.6613619679674745,7.324763804291997
9,2024,UAB,0,28.129653394551905,791.2774000976254,-24.51269685595856,6.721421597914165,1.825742924628211,2.6228618890106783,2.788091941330266,-25.4536940402268,-0.3814988284222007,2.7836828214379845
10,2024,Oakland,0,28.75056015122166,826.5947090090148,-12.496455950146588,6.575055576064633,24.096010212321772,5.925140165953778,10.56281639683878,-13.586564536329334,3.9846887062869336,-0.3359620850627154
11,2024,Kansas,0,30.23174458890479,913.9583808887741,-17.224307919642733,-4.543030816922943,15.572148985571236,18.114074059558206,-2.7118401638589313,-9.089577228139142,-3.7222923938610073,14.577736979129172
12,2024,Colorado,0,31.009576329663986,961.593824145257,-1.5136270058287802,-6.948090762809131,1.3521770728513527,16.38747681910294,-19.151767906667473,-10.514342650051654,7.593719722595743,10.570427532488527
