round_number,region,round,bracket_game_id,team1,team1_seed,team2,team2_seed,next_game_id,next_slot,source_game_url,team1_championship_rank,team1_adjusted_finish_score,team2_championship_rank,team2_adjusted_finish_score,favorite,underdog,quality_gap,matchup_advantage,final_upset_score,upset_predicted,predicted_winner,predicted_winner_seed
1,South,First Four,FF_01,Alabama State,16,Saint Francis (PA),16,S_R64_01,1,https://www.sports-reference.com/cbb/boxscores/2025-03-18-18-alabama-state.html,68,0.9318710047754232,67,0.9586302290101144,Saint Francis (PA),Alabama State,0.05466889282221432,-0.12898661282591606,-0.16452139316035536,FALSE,Saint Francis (PA),16
1,South,First Four,FF_04,San Diego State,11,North Carolina,11,S_R64_05,1,https://www.sports-reference.com/cbb/boxscores/2025-03-18-21-san-diego-state.html,47,2.0281118134643004,43,2.1026993567087566,North Carolina,San Diego State,0.15238178699579788,0.15494583529964712,0.05589767375237849,FALSE,North Carolina,11
1,East,First Four,FF_02,American,16,Mount St. Mary's,16,E_R64_01,1,https://www.sports-reference.com/cbb/boxscores/2025-03-19-18-american.html,66,1.1056510755047515,65,1.1254119010914654,Mount St. Mary's,American,0.040371217289551176,0.20430088473019287,0.1780595934919846,FALSE,Mount St. Mary's,16
1,Midwest,First Four,FF_03,Texas,11,Xavier,11,M_R64_05,1,https://www.sports-reference.com/cbb/boxscores/2025-03-19-21-texas.html,50,2.00545864639444,52,1.9581783764165,Texas,Xavier,0.0965932341446008,-0.07235560560932056,-0.13514120780331107,FALSE,Texas,11
2,South,Round of 64,S_R64_01,Saint Francis (PA),16,Auburn,1,S_R32_01,1,https://www.sports-reference.com/cbb/boxscores/2025-03-20-14-auburn.html,67,0.9586302290101144,2,3.1539289688098515,Auburn,Saint Francis (PA),4.484978729811839,-0.7215655343771448,-3.6368017087548403,FALSE,Auburn,1
2,South,Round of 64,S_R64_02,Creighton,9,Louisville,8,S_R32_01,2,https://www.sports-reference.com/cbb/boxscores/2025-03-20-12-louisville.html,49,2.023600281468194,20,2.3834187392818333,Louisville,Creighton,0.735106389226591,-0.19004923326375453,-0.6678683862610387,FALSE,Louisville,8
2,South,Round of 64,S_R64_03,UC San Diego,12,Michigan,5,S_R32_02,1,https://www.sports-reference.com/cbb/boxscores/2025-03-20-22-michigan.html,9,2.7123291244522254,30,2.282188087242682,UC San Diego,Michigan,0.8787748873212539,-0.27511178885782467,-0.8463154656166396,FALSE,UC San Diego,12
2,South,Round of 64,S_R64_04,Yale,13,Texas A&M,4,S_R32_02,2,https://www.sports-reference.com/cbb/boxscores/2025-03-20-19-texas-am.html,29,2.309193295203741,39,2.182099174278609,Yale,Texas A&M,0.2596523282682475,-0.0816528992941689,-0.2504269126685298,FALSE,Yale,13
2,South,Round of 64,S_R64_05,North Carolina,11,Mississippi,6,S_R32_03,1,https://www.sports-reference.com/cbb/boxscores/2025-03-21-16-mississippi.html,43,2.1026993567087566,38,2.191418581605381,Mississippi,North Carolina,0.18125270578119618,-0.36764181879839747,-0.485456077556175,FALSE,Mississippi,6
2,South,Round of 64,S_R64_06,Lipscomb,14,Iowa State,3,S_R32_03,2,https://www.sports-reference.com/cbb/boxscores/2025-03-21-13-iowa-state.html,46,2.037083155862445,18,2.4730819740570373,Iowa State,Lipscomb,0.8907422895911776,0.13744550854611914,-0.4415369796881463,FALSE,Iowa State,3
2,South,Round of 64,S_R64_07,New Mexico,10,Marquette,7,S_R32_04,1,https://www.sports-reference.com/cbb/boxscores/2025-03-21-19-marquette.html,31,2.2782143186551544,32,2.257202698340558,New Mexico,Marquette,0.0429265814630965,0.06654557856230084,0.038643300611288116,FALSE,New Mexico,10
2,South,Round of 64,S_R64_08,Bryant,15,Michigan State,2,S_R32_04,2,https://www.sports-reference.com/cbb/boxscores/2025-03-21-22-michigan-state.html,58,1.771296061812661,11,2.583958886204643,Michigan State,Bryant,1.6602640068200203,-0.41893819107397695,-1.4981097955069902,FALSE,Michigan State,2
2,East,Round of 64,E_R64_01,Mount St. Mary's,16,Duke,1,E_R32_01,1,https://www.sports-reference.com/cbb/boxscores/2025-03-21-14-duke.html,65,1.1254119010914654,1,3.385481141032093,Duke,Mount St. Mary's,4.617304371960055,-0.5266753574943556,-3.527923199268391,FALSE,Duke,1
2,East,Round of 64,E_R64_02,Baylor,9,Mississippi State,8,E_R32_01,2,https://www.sports-reference.com/cbb/boxscores/2025-03-21-12-mississippi-state.html,36,2.20878646919002,48,2.026615557332762,Baylor,Mississippi State,0.3721737957836032,-0.18499905094209965,-0.42691201820144176,FALSE,Baylor,9
2,East,Round of 64,E_R64_03,Liberty,12,Oregon,5,E_R32_02,1,https://www.sports-reference.com/cbb/boxscores/2025-03-21-22-oregon.html,21,2.382425812099422,41,2.1081845270084605,Liberty,Oregon,0.5602728722840831,-0.5468778132762356,-0.9110551802608897,FALSE,Liberty,12
2,East,Round of 64,E_R64_04,Akron,13,Arizona,4,E_R32_02,2,https://www.sports-reference.com/cbb/boxscores/2025-03-21-19-arizona.html,44,2.086987306920169,16,2.48595695948907,Arizona,Akron,0.8150919841438855,0.18216432397809518,-0.34764546571543037,FALSE,Arizona,4
2,East,Round of 64,E_R64_05,Virginia Commonwealth,11,Brigham Young,6,E_R32_03,1,https://www.sports-reference.com/cbb/boxscores/2025-03-20-16-brigham-young.html,12,2.5612102076885095,24,2.3365329531517367,Virginia Commonwealth,Brigham Young,0.4590139325465425,0.09596748302737348,-0.20239157312787917,FALSE,Virginia Commonwealth,11
2,East,Round of 64,E_R64_06,Montana,14,Wisconsin,3,E_R32_03,2,https://www.sports-reference.com/cbb/boxscores/2025-03-20-13-wisconsin.html,62,1.455103974189695,25,2.33524138062799,Wisconsin,Montana,1.7981140678592133,-0.4548211144988992,-1.6235952586073878,FALSE,Wisconsin,3
2,East,Round of 64,E_R64_07,Vanderbilt,10,Saint Mary's,7,E_R32_04,1,https://www.sports-reference.com/cbb/boxscores/2025-03-21-15-saint-marys-ca.html,55,1.87521327962562,13,2.524726480639323,Saint Mary's,Vanderbilt,1.3269505596054763,-0.7412235477200086,-1.6037414114635682,FALSE,Saint Mary's,7
2,East,Round of 64,E_R64_08,Robert Morris,15,Alabama,2,E_R32_04,2,https://www.sports-reference.com/cbb/boxscores/2025-03-21-12-alabama.html,61,1.556323488020794,6,2.77640867454779,Alabama,Robert Morris,2.4926248127083,-0.07369579572177405,-1.693901923982169,FALSE,Alabama,2
2,West,Round of 64,W_R64_01,Norfolk State,16,Florida,1,W_R32_01,1,https://www.sports-reference.com/cbb/boxscores/2025-03-21-18-florida.html,60,1.659393930083981,3,3.039703092575274,Florida,Norfolk State,2.819961184372827,-0.7679622548110174,-2.600937024653355,FALSE,Florida,1
2,West,Round of 64,W_R64_02,Oklahoma,9,Connecticut,8,W_R32_01,2,https://www.sports-reference.com/cbb/boxscores/2025-03-21-21-connecticut.html,57,1.8253383621125951,37,2.1992461241972614,Connecticut,Oklahoma,0.7638907313426747,-0.32203504190275045,-0.8185640172754891,FALSE,Connecticut,8
2,West,Round of 64,W_R64_03,Colorado State,12,Memphis,5,W_R32_02,1,https://www.sports-reference.com/cbb/boxscores/2025-03-21-14-memphis.html,45,2.043550309005483,42,2.1072181639284406,Memphis,Colorado State,0.1300729463035445,0.24167377721499445,0.15712636211769054,FALSE,Memphis,5
2,West,Round of 64,W_R64_04,Grand Canyon,13,Maryland,4,W_R32_02,2,https://www.sports-reference.com/cbb/boxscores/2025-03-21-16-maryland.html,54,1.8783353155585456,8,2.7453717330322727,Maryland,Grand Canyon,1.7713488464429488,-0.037859168418407085,-1.1892359186063237,FALSE,Maryland,4
2,West,Round of 64,W_R64_05,Drake,11,Missouri,6,W_R32_03,1,https://www.sports-reference.com/cbb/boxscores/2025-03-20-19-missouri.html,34,2.2253846530000496,17,2.4811627769226647,Missouri,Drake,0.5225527735914217,0.61070066861913,0.27104136578470583,FALSE,Missouri,6
2,West,Round of 64,W_R64_06,UNC Wilmington,14,Texas Tech,3,W_R32_03,2,https://www.sports-reference.com/cbb/boxscores/2025-03-20-22-texas-tech.html,53,1.955132726306282,10,2.6732068605812658,Texas Tech,UNC Wilmington,1.467020027964459,-0.31015751077743303,-1.2637205289543314,FALSE,Texas Tech,3
2,West,Round of 64,W_R64_07,Arkansas,10,Kansas,7,W_R32_04,1,https://www.sports-reference.com/cbb/boxscores/2025-03-20-19-kansas.html,51,1.9605376189568728,35,2.215675407087587,Kansas,Arkansas,0.5212445724092556,-0.2396886079324032,-0.5784975799984193,FALSE,Kansas,7
