round,region,bracket_game_id,team1,team2,team1_win_probability,team2_win_probability,quality_edge,three_point_edge,turnover_edge,rebounding_edge,defensive_resistance_edge,winner,loser
First Four,West,FF_01,Texas,North Carolina State,0.39065048718836826,0.6093495128116317,-0.13696758505252726,-1.3053312821309422,-1.6067362656538313,1.9441709546204327,0.2742780587314073,North Carolina State,Texas
First Four,Midwest,FF_02,UMBC,Howard,0.3749327160086193,0.6250672839913807,-0.23574389001880203,0.31425064149276494,-0.34901944726591544,-0.3845860779998764,-0.5196532234176511,Howard,UMBC
First Four,South,FF_03,Prairie View A&M,Lehigh,0.6224171102501366,0.3775828897498635,0.3965983393110668,-1.6848542752751825,1.5731983993890482,0.14524310309530453,0.47159519423660456,Prairie View A&M,Lehigh
First Four,Midwest,FF_04,Miami (OH),SMU,0.8023460778576798,0.19765392214232025,0.6426192749319288,1.2396840700736522,0.4428289493055744,-0.5261466729988901,1.012464505209958,Miami (OH),SMU
Round of 64,East,E_R64_01,Duke,Siena,0.95,0.050000000000000044,3.5877235028555416,2.167201772634827,0.34556581671963116,1.7912916633996678,1.6766232417985232,Duke,Siena
Round of 64,East,E_R64_02,Ohio State,TCU,0.5329785653387449,0.4670214346612551,0.2932437531190255,1.3065485969875303,-1.0922936486069879,-0.7369386032988029,-0.4545863859028566,Ohio State,TCU
Round of 64,East,E_R64_03,St. John's (NY),Northern Iowa,0.7479665334116692,0.2520334665883308,0.9652810604646642,-1.115369104729726,0.2652024498524309,1.226308173403033,-0.31740346770403893,St. John's (NY),Northern Iowa
Round of 64,East,E_R64_04,Kansas,California Baptist,0.7223797306837454,0.27762026931625455,1.2821715852433142,0.20314206623009123,-0.6979824976113098,-1.28934238804182,0.027588482632987965,California Baptist,Kansas
Round of 64,East,E_R64_05,Louisville,South Florida,0.6399526508061928,0.3600473491938072,0.3253779956805196,1.4932755677751732,-1.1134204593802823,0.13243184653848106,-0.10950367095857488,Louisville,South Florida
Round of 64,East,E_R64_06,Michigan State,North Dakota State,0.7540790511016198,0.24592094889838023,1.159847177452006,-0.38614961614390564,-1.545590399994769,1.1102614260199024,0.2096554809883899,Michigan State,North Dakota State
Round of 64,East,E_R64_07,UCLA,UCF,0.7875729659207296,0.2124270340792705,0.7027446367512461,0.72044690070769,1.1730461577048148,-1.0134433878798839,0.8086555308991944,UCLA,UCF
Round of 64,East,E_R64_08,Connecticut,Furman,0.95,0.05,2.1136703036060602,0.49005245073318265,1.4055384874771133,-0.044717688976859314,1.532862080661637,Connecticut,Furman
Round of 64,Midwest,M_R64_01,Michigan,Howard,0.95,0.05,3.205325529551031,0.8059510238226023,-0.9368843614892424,0.49222276962658557,0.7548454987270026,Michigan,Howard
Round of 64,Midwest,M_R64_02,Georgia,Saint Louis,0.0722420652365018,0.9277579347634982,-1.1458654720570727,-2.2316057339283653,1.288011606916339,-1.0702767813115277,-2.0770460131821804,Saint Louis,Georgia
Round of 64,Midwest,M_R64_03,Texas Tech,Akron,0.330895685671291,0.669104314328709,-0.30625300537264694,0.6392614614177732,-1.0268814437253175,-0.3925282291214611,-0.5994578020472139,Texas Tech,Akron
Round of 64,Midwest,M_R64_04,Alabama,Hofstra,0.46305220063881797,0.536947799361182,0.606328403323652,-0.16908595084959166,-0.010872346565792945,-1.2051066191774913,-1.6854599244033945,Alabama,Hofstra
Round of 64,Midwest,M_R64_05,Tennessee,Miami (OH),0.50037469349358,0.49962530650642006,0.13079784028762076,-2.216897501339002,-0.7241459696762014,2.574305276336788,0.28779036557836535,Miami (OH),Tennessee
Round of 64,Midwest,M_R64_06,Virginia,Wright State,0.9188116784391503,0.08118832156084965,1.5159279901992355,0.543657262079759,-0.3622505019833949,0.6566194098287991,1.6176074591048735,Virginia,Wright State
Round of 64,Midwest,M_R64_07,Kentucky,Santa Clara,0.3108574496282014,0.6891425503717986,-0.25336942063754153,-0.6276671497412589,-1.1141914898899261,0.07250964898937766,0.10979675994138333,Santa Clara,Kentucky
Round of 64,Midwest,M_R64_08,Iowa State,Tennessee State,0.95,0.050000000000000044,2.3597145124259806,2.0260637298134148,0.8820967754017209,-0.05298656626333529,0.9848552993922555,Iowa State,Tennessee State
