season,game_id,game_date,game_url,team1_team,team1_fg,team1_fga,team1_fg_pct,team1_fg2,team1_fg2a,team1_fg2_pct,team1_fg3,team1_fg3a,team1_fg3_pct,team1_ft,team1_fta,team1_ft_pct,team1_orb,team1_drb,team1_trb,team1_ast,team1_stl,team1_blk,team1_tov,team1_pf,team1_pts,team2_team,team2_fg,team2_fga,team2_fg_pct,team2_fg2,team2_fg2a,team2_fg2_pct,team2_fg3,team2_fg3a,team2_fg3_pct,team2_ft,team2_fta,team2_ft_pct,team2_orb,team2_drb,team2_trb,team2_ast,team2_stl,team2_blk,team2_tov,team2_pf,team2_pts,team1_win,team2_win,winner,loser,score_margin,team1_point_margin,team2_point_margin,team1_raw_possessions,team2_raw_possessions,estimated_possessions,team1_offensive_rating,team2_offensive_rating,team1_defensive_rating,team2_defensive_rating,team1_efg_pct,team2_efg_pct,team1_true_shooting_pct,team2_true_shooting_pct,team1_ft_rate,team2_ft_rate,team1_fg3_attempt_rate,team2_fg3_attempt_rate,team1_tov_pct,team2_tov_pct,team1_forced_tov_pct,team2_forced_tov_pct,team1_orb_pct,team2_orb_pct,team1_drb_pct,team2_drb_pct,team1_opponent_fg_pct,team2_opponent_fg_pct,team1_opponent_fg2_pct,team2_opponent_fg2_pct,team1_opponent_fg3_pct,team2_opponent_fg3_pct,team1_opponent_efg_pct,team2_opponent_efg_pct,team1_opponent_ft_rate,team2_opponent_ft_rate,team1_points_allowed,team2_points_allowed
2012,2012-03-13-brigham-young,2012-03-13,https://www.sports-reference.com/cbb/boxscores/2012-03-13-brigham-young.html,Iona,31,70,0.443,25,45,0.556,6,25,0.24,4,8,0.5,6,26,32,19,10,3,17,19,72,Brigham Young,30,62,0.484,23,42,0.548,7,20,0.35,11,20,0.55,9,30,39,21,9,7,20,14,78,0,1,Brigham Young,Iona,6,-6,6,84.8,82.5,83.65,86.07292289300656,93.2456664674238,93.2456664674238,86.07292289300656,0.4857142857142857,0.5403225806451613,0.48780487804878053,0.5454545454545454,0.11428571428571428,0.3225806451612903,0.35714285714285715,0.3225806451612903,0.18722466960352424,0.2185792349726776,0.2185792349726776,0.18722466960352424,0.16666666666666666,0.2571428571428571,0.7428571428571429,0.8333333333333334,0.484,0.443,0.548,0.556,0.35,0.24,0.5403225806451613,0.4857142857142857,0.3225806451612903,0.11428571428571428,78,72
2012,2012-03-13-mississippi-valley-state,2012-03-13,https://www.sports-reference.com/cbb/boxscores/2012-03-13-mississippi-valley-state.html,Western Kentucky,19,62,0.306,17,46,0.37,2,16,0.125,19,33,0.576,21,32,53,10,7,9,27,18,59,Mississippi Valley State,22,61,0.361,18,39,0.462,4,22,0.182,10,22,0.455,9,21,30,12,11,8,17,24,58,1,0,Western Kentucky,Mississippi Valley State,1,1,-1,83.675,79.45,81.5625,72.33716475095785,71.11111111111111,71.11111111111111,72.33716475095785,0.3225806451612903,0.39344262295081966,0.3797875764402961,0.40587823652904126,0.532258064516129,0.3606557377049181,0.25806451612903225,0.3606557377049181,0.2579412467160258,0.1921989824759751,0.1921989824759751,0.2579412467160258,0.5,0.2195121951219512,0.7804878048780488,0.5,0.361,0.306,0.462,0.37,0.182,0.125,0.39344262295081966,0.3225806451612903,0.3606557377049181,0.532258064516129,58,59
2012,2012-03-14-california,2012-03-14,https://www.sports-reference.com/cbb/boxscores/2012-03-14-california.html,South Florida,28,49,0.571,23,34,0.676,5,15,0.333,4,8,0.5,5,25,30,15,3,4,11,14,65,California,21,58,0.362,18,44,0.409,3,14,0.214,9,14,0.643,11,18,29,10,1,2,7,14,54,1,0,South Florida,California,11,11,-11,58.8,60.65,59.724999999999994,108.8321473419841,90.41439933026372,90.41439933026372,108.8321473419841,0.6224489795918368,0.3879310344827586,0.6155303030303031,0.4176334106728538,0.16326530612244897,0.2413793103448276,0.30612244897959184,0.2413793103448276,0.1724137931034483,0.09769713886950453,0.09769713886950453,0.1724137931034483,0.21739130434782608,0.3055555555555556,0.6944444444444444,0.782608695652174,0.362,0.571,0.409,0.676,0.214,0.333,0.3879310344827586,0.6224489795918368,0.2413793103448276,0.16326530612244897,54,65
2012,2012-03-14-lamar,2012-03-14,https://www.sports-reference.com/cbb/boxscores/2012-03-14-lamar.html,Vermont,25,50,0.5,21,39,0.538,4,11,0.364,17,24,0.708,9,24,33,16,3,3,5,19,71,Lamar,20,60,0.333,16,47,0.34,4,13,0.308,15,21,0.714,18,21,39,6,3,2,7,17,59,1,0,Vermont,Lamar,12,12,-12,57.4,58.975,58.1875,122.01933404940924,101.39634801288938,101.39634801288938,122.01933404940924,0.54,0.36666666666666664,0.5781758957654723,0.421579135405502,0.48,0.35,0.22,0.21666666666666667,0.0753012048192771,0.09093861643390712,0.09093861643390712,0.0753012048192771,0.3,0.42857142857142855,0.5714285714285714,0.7,0.333,0.5,0.34,0.538,0.308,0.364,0.36666666666666664,0.54,0.35,0.48,59,71
2012,2012-03-15-baylor,2012-03-15,https://www.sports-reference.com/cbb/boxscores/2012-03-15-baylor.html,South Dakota State,21,50,0.42,11,20,0.55,10,30,0.333,8,14,0.571,4,13,17,16,7,1,13,17,60,Baylor,23,52,0.442,15,32,0.469,8,20,0.4,14,20,0.7,12,19,31,9,6,2,12,16,68,0,1,Baylor,South Dakota State,8,-8,8,65.65,61.5,63.575,94.37672040896578,106.96028313016122,106.96028313016122,94.37672040896578,0.52,0.5192307692307693,0.529567519858782,0.5528455284552846,0.28,0.38461538461538464,0.6,0.38461538461538464,0.1866475233309404,0.16326530612244897,0.16326530612244897,0.1866475233309404,0.17391304347826086,0.48,0.52,0.8260869565217391,0.442,0.42,0.469,0.55,0.4,0.333,0.5192307692307693,0.52,0.38461538461538464,0.28,68,60
2012,2012-03-15-brigham-young,2012-03-15,https://www.sports-reference.com/cbb/boxscores/2012-03-15-brigham-young.html,Marquette,30,66,0.455,21,46,0.457,9,20,0.45,19,26,0.731,16,32,48,19,7,3,16,20,88,Brigham Young,23,61,0.377,16,42,0.381,7,19,0.368,15,22,0.682,8,25,33,16,8,6,17,22,68,1,0,Marquette,Brigham Young,20,20,-20,78.35,80.45,79.4,110.83123425692692,85.64231738035264,85.64231738035264,110.83123425692692,0.5227272727272727,0.4344262295081967,0.5615826419910658,0.47585724282715186,0.3939393939393939,0.3606557377049181,0.30303030303030304,0.3114754098360656,0.16958134605193428,0.1921989824759751,0.1921989824759751,0.16958134605193428,0.3902439024390244,0.2,0.8,0.6097560975609756,0.377,0.455,0.381,0.457,0.368,0.45,0.4344262295081967,0.5227272727272727,0.3606557377049181,0.3939393939393939,68,88
2012,2012-03-15-colorado,2012-03-15,https://www.sports-reference.com/cbb/boxscores/2012-03-15-colorado.html,Nevada-Las Vegas,23,71,0.324,14,35,0.4,9,36,0.25,9,17,0.529,9,21,30,13,14,8,8,22,64,Colorado,22,48,0.458,15,36,0.417,7,12,0.583,17,27,0.63,9,34,43,12,4,3,23,18,68,0,1,Colorado,Nevada-Las Vegas,4,-4,4,78.075,74.825,76.45,83.71484630477435,88.94702419882276,88.94702419882276,83.71484630477435,0.3873239436619718,0.53125,0.40467910211824215,0.5589806822852446,0.23943661971830985,0.5625,0.5070422535211268,0.25,0.0918748205569911,0.27438115120787354,0.27438115120787354,0.0918748205569911,0.20930232558139536,0.3,0.7,0.7906976744186046,0.458,0.324,0.417,0.4,0.583,0.25,0.53125,0.3873239436619718,0.5625,0.23943661971830985,68,64
2012,2012-03-15-colorado-state,2012-03-15,https://www.sports-reference.com/cbb/boxscores/2012-03-15-colorado-state.html,Murray State,20,51,0.392,15,34,0.441,5,17,0.294,13,26,0.5,10,22,32,9,9,5,7,8,58,Colorado State,16,48,0.333,13,34,0.382,3,14,0.214,6,9,0.667,11,27,38,7,6,1,21,22,41,1,0,Murray State,Colorado State,17,17,-17,60.35,62.275,61.3125,94.5973496432212,66.87054026503569,66.87054026503569,94.5973496432212,0.4411764705882353,0.3645833333333333,0.457774269928966,0.392156862745098,0.5098039215686274,0.1875,0.3333333333333333,0.2916666666666667,0.09950248756218906,0.28659160696008185,0.28659160696008185,0.09950248756218906,0.2702702702702703,0.3333333333333333,0.6666666666666666,0.7297297297297297,0.333,0.392,0.382,0.441,0.214,0.294,0.3645833333333333,0.4411764705882353,0.1875,0.5098039215686274,41,58
2012,2012-03-15-connecticut,2012-03-15,https://www.sports-reference.com/cbb/boxscores/2012-03-15-connecticut.html,Iowa State,26,54,0.481,20,38,0.526,6,16,0.375,19,20,0.95,11,29,40,10,2,4,11,15,77,Connecticut,21,56,0.375,14,37,0.378,7,19,0.368,15,22,0.682,7,14,21,8,7,5,4,17,64,1,0,Iowa State,Connecticut,13,13,-13,63.5,63.45,63.475,121.30760141788106,100.82709728239465,100.82709728239465,121.30760141788106,0.5370370370370371,0.4375,0.6062992125984252,0.4815650865312265,0.3703703703703703,0.3928571428571429,0.2962962962962963,0.3392857142857143,0.1476510067114094,0.05677785663591199,0.05677785663591199,0.1476510067114094,0.44,0.19444444444444445,0.8055555555555556,0.56,0.375,0.481,0.378,0.526,0.368,0.375,0.4375,0.5370370370370371,0.3928571428571429,0.3703703703703703,64,77
2012,2012-03-15-davidson,2012-03-15,https://www.sports-reference.com/cbb/boxscores/2012-03-15-davidson.html,Louisville,21,52,0.404,20,47,0.426,1,5,0.2,26,36,0.722,11,26,37,8,5,4,10,19,69,Davidson,21,60,0.35,17,41,0.415,4,19,0.211,16,23,0.696,12,23,35,12,4,6,10,23,62,1,0,Louisville,Davidson,7,7,-7,68.1,68.925,68.51249999999999,100.71154898741108,90.49443532202154,90.49443532202154,100.71154898741108,0.4134615384615384,0.38333333333333336,0.49927641099855286,0.4370814240394784,0.6923076923076923,0.38333333333333336,0.09615384615384616,0.31666666666666665,0.12642225031605564,0.12357120790855732,0.12357120790855732,0.12642225031605564,0.3235294117647059,0.3157894736842105,0.6842105263157895,0.6764705882352942,0.35,0.404,0.415,0.426,0.211,0.2,0.38333333333333336,0.4134615384615384,0.38333333333333336,0.6923076923076923,62,69
