Team,SOS,Rank,Opp Record,Opp Win Percent
Alabama,0.6214,1,810-413,0.6623
Purdue,0.6098,2,817-459,0.6403
San Diego State,0.598,3,683-401,0.6301
Tennessee,0.5968,4,736-445,0.6232
Wisconsin,0.5942,5,732-441,0.624
Kansas,0.589,6,656-404,0.6189
Michigan,0.5877,7,636-403,0.6121
Baylor,0.5843,8,669-428,0.6098
Michigan State,0.5832,9,702-450,0.6094
Houston,0.5831,10,718-466,0.6064
Illinois,0.5823,11,750-482,0.6088
Clemson,0.581,12,694-463,0.5998
North Carolina,0.577,13,715-483,0.5968
Arizona,0.5769,14,693-464,0.599
Dayton,0.5765,15,630-418,0.6011
Xavier,0.5753,16,669-438,0.6043
Mississippi State,0.5747,17,658-453,0.5923
Duquesne,0.5744,18,674-454,0.5975
Syracuse,0.5743,19,605-413,0.5943
Colorado State,0.5742,20,621-421,0.596
Marquette,0.574,21,719-482,0.5987
Florida State,0.5721,22,629-432,0.5928
Boise State,0.5698,23,574-400,0.5893
West Virginia,0.5691,24,603-421,0.5889
Auburn,0.567,25,647-469,0.5797
UNLV,0.5665,26,579-411,0.5848
North Carolina State,0.5663,27,760-539,0.5851
Texas A&M,0.5656,28,671-477,0.5845
Indiana,0.5655,29,618-433,0.588
VCU,0.565,30,697-487,0.5887
Iowa State,0.5637,31,687-488,0.5847
Florida,0.5631,32,668-493,0.5754
Texas,0.5624,33,633-452,0.5834
New Mexico,0.5618,34,606-443,0.5777
Colorado,0.5612,35,675-498,0.5754
Utah,0.5609,36,682-491,0.5814
Creighton,0.5609,37,653-474,0.5794
Cincinnati,0.5607,38,675-496,0.5764
Duke,0.5604,39,673-491,0.5782
Connecticut,0.5601,40,738-542,0.5766
USC,0.5582,41,601-443,0.5757
Bradley,0.5576,42,614-443,0.5809
Georgia,0.5576,43,679-510,0.5711
Arkansas,0.5567,44,598-452,0.5695
Saint Louis,0.5566,45,573-428,0.5724
UCF,0.5551,46,595-443,0.5732
Georgia Tech,0.555,47,589-454,0.5647
Oregon,0.5537,48,641-493,0.5653
Iowa,0.5535,49,628-475,0.5694
Drake,0.5535,50,611-446,0.5781
Rutgers,0.5527,51,585-450,0.5652
Vanderbilt,0.5527,52,582-443,0.5678
Utah State,0.5526,53,576-443,0.5653
Villanova,0.5517,54,624-470,0.5704
DePaul,0.5514,55,591-446,0.5699
Ohio State,0.551,56,645-510,0.5584
Virginia Tech,0.5507,57,614-471,0.5659
Northwestern,0.5507,58,617-482,0.5614
Saint John's,0.5504,59,605-470,0.5628
Washington,0.5503,60,571-445,0.562
Texas Tech,0.5501,61,603-473,0.5604
Missouri,0.55,62,583-450,0.5644
Arizona State,0.5493,63,568-447,0.5596
UAB,0.549,64,595-458,0.5651
Kansas State,0.5478,65,601-476,0.558
Rhode Island,0.5473,66,545-422,0.5636
Ole Miss,0.5469,67,571-457,0.5554
Kentucky,0.5467,68,585-471,0.554
Boston College,0.546,69,633-507,0.5553
Wake Forest,0.5458,70,626-498,0.5569
Nebraska,0.5457,71,602-482,0.5554
Seton Hall,0.5452,72,661-527,0.5564
Gonzaga,0.5451,73,591-445,0.5705
Notre Dame,0.545,74,585-463,0.5582
Florida Atlantic,0.5447,75,590-462,0.5608
Yale,0.5447,76,499-372,0.5729
Washington State,0.5445,77,610-487,0.5561
Providence,0.5441,78,620-493,0.5571
Oklahoma,0.5436,79,568-456,0.5547
BYU,0.5435,80,597-481,0.5538
Nevada,0.5431,81,555-458,0.5479
Oklahoma State,0.5425,82,555-444,0.5556
Davidson,0.5414,83,515-413,0.555
Saint Mary's (CA),0.5413,84,561-445,0.5577
