season,team,team_slug,gamelog_url,game_number,game_date,location,opponent,game_result,points,opponent_points,fg,fga,fg_pct,fg2,fg2a,fg2_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,opponent_fg,opponent_fga,opponent_fg_pct,opponent_fg2,opponent_fg2a,opponent_fg2_pct,opponent_fg3,opponent_fg3a,opponent_fg3_pct,opponent_ft,opponent_fta,opponent_ft_pct,opponent_orb,opponent_drb,opponent_trb,opponent_ast,opponent_stl,opponent_blk,opponent_tov,opponent_pf,win,loss,raw_possessions,opponent_raw_possessions,estimated_possessions,offensive_rating,defensive_rating,efg_pct,opponent_efg_pct,true_shooting_pct,ft_rate,opponent_ft_rate,fg3_attempt_rate,tov_pct,forced_tov_pct,orb_pct,drb_pct,point_margin
2024,Akron,akron,https://www.sports-reference.com/cbb/schools/akron/men/2024-gamelogs.html,,2023-11-06,@,,,,,26,57,0.456,15,30,0.5,11,27,0.407,18,22,0.818,11,21,32,14,10,2,14,19,28,56,0.5,20,37,0.541,8,19,0.421,11,13,0.846,5,18,23,14,8,2,12,17,,,70.45,69.175,69.8125,,,0.5526315789473685,0.5714285714285714,,0.38596491228070173,0.23214285714285715,0.47368421052631576,0.17188459177409454,0.16177957532861476,0.3793103448275862,0.8076923076923077,
2024,Akron,akron,https://www.sports-reference.com/cbb/schools/akron/men/2024-gamelogs.html,,2023-11-10,,,,,,26,55,0.473,17,25,0.68,9,30,0.3,11,13,0.846,3,26,29,14,9,2,12,14,23,58,0.397,18,43,0.419,5,15,0.333,3,10,0.3,8,22,30,14,8,3,14,19,,,70.175,68.75,69.4625,,,0.5545454545454546,0.4396551724137931,,0.23636363636363636,0.1724137931034483,0.5454545454545454,0.16399043389135634,0.18241042345276873,0.12,0.7647058823529411,
2024,Akron,akron,https://www.sports-reference.com/cbb/schools/akron/men/2024-gamelogs.html,,2023-11-14,,,,,,42,79,0.532,22,36,0.611,20,43,0.465,10,13,0.769,16,33,49,28,9,4,10,10,23,68,0.338,16,38,0.421,7,30,0.233,3,8,0.375,9,21,30,8,7,0,17,14,,,79.175,79.8,79.4875,,,0.6582278481012658,0.3897058823529412,,0.16455696202531644,0.11764705882352941,0.5443037974683544,0.10506960861570791,0.19144144144144146,0.43243243243243246,0.7857142857142857,
2024,Akron,akron,https://www.sports-reference.com/cbb/schools/akron/men/2024-gamelogs.html,,2023-11-19,N,,,,,26,54,0.481,16,29,0.552,10,25,0.4,15,25,0.6,8,22,30,16,6,2,19,21,23,53,0.434,15,33,0.455,8,20,0.4,17,23,0.739,4,16,20,15,14,4,17,24,,,76.875,76.925,76.9,,,0.5740740740740741,0.5094339622641509,,0.46296296296296297,0.4339622641509434,0.46296296296296297,0.22385861561119294,0.21007105344454743,0.3333333333333333,0.8461538461538461,
2024,Akron,akron,https://www.sports-reference.com/cbb/schools/akron/men/2024-gamelogs.html,,2023-11-20,N,,,,,20,53,0.377,15,29,0.517,5,24,0.208,17,20,0.85,6,23,29,9,6,1,8,18,26,57,0.456,23,47,0.489,3,10,0.3,10,15,0.667,8,22,30,16,5,3,10,16,,,64.5,66.125,65.3125,,,0.42452830188679247,0.4824561403508772,,0.37735849056603776,0.2631578947368421,0.4528301886792453,0.11347517730496454,0.13490725126475547,0.21428571428571427,0.7419354838709677,
2024,Akron,akron,https://www.sports-reference.com/cbb/schools/akron/men/2024-gamelogs.html,,2023-11-21,N,,,,,21,48,0.438,16,27,0.593,5,21,0.238,12,21,0.571,6,16,22,10,2,1,12,17,29,52,0.558,20,26,0.769,9,26,0.346,12,14,0.857,6,24,30,18,6,0,7,16,,,63.975,59.65,61.8125,,,0.4895833333333333,0.6442307692307693,,0.4375,0.2692307692307692,0.4375,0.17148981779206862,0.10662604722010662,0.2,0.7272727272727273,
2024,Akron,akron,https://www.sports-reference.com/cbb/schools/akron/men/2024-gamelogs.html,,2023-11-28,@,,,,,25,54,0.463,17,36,0.472,8,18,0.444,12,12,1,5,24,29,19,7,6,16,13,30,62,0.484,21,42,0.5,9,20,0.45,3,6,0.5,6,19,25,20,12,7,14,13,,,70.7,72.85,71.775,,,0.5370370370370371,0.5564516129032258,,0.2222222222222222,0.0967741935483871,0.3333333333333333,0.21136063408190223,0.17755231452124287,0.20833333333333334,0.8,
2024,Akron,akron,https://www.sports-reference.com/cbb/schools/akron/men/2024-gamelogs.html,,2023-12-05,,,,,,25,59,0.424,16,35,0.457,9,24,0.375,8,17,0.471,14,24,38,12,7,5,14,13,21,52,0.404,16,34,0.471,5,18,0.278,5,12,0.417,7,21,28,10,6,1,12,19,,,67.075,62.7,64.8875,,,0.5,0.4519230769230769,,0.288135593220339,0.23076923076923078,0.4067796610169492,0.1726796176379895,0.1721664275466284,0.4,0.7741935483870968,
2024,Akron,akron,https://www.sports-reference.com/cbb/schools/akron/men/2024-gamelogs.html,,2023-12-09,@,,,,,32,55,0.582,24,33,0.727,8,22,0.364,5,9,0.556,6,17,23,18,3,1,13,18,29,60,0.483,25,45,0.556,4,15,0.267,14,24,0.583,11,18,29,12,9,1,8,15,,,66.275,68.4,67.3375,,,0.6545454545454545,0.5166666666666667,,0.16363636363636364,0.4,0.4,0.1798685575925285,0.10075566750629722,0.25,0.6071428571428571,
2024,Akron,akron,https://www.sports-reference.com/cbb/schools/akron/men/2024-gamelogs.html,,2023-12-17,,,,,,30,67,0.448,16,25,0.64,14,42,0.333,14,17,0.824,21,23,44,20,10,1,9,10,19,48,0.396,13,27,0.481,6,21,0.286,1,4,0.25,6,12,18,9,5,0,17,16,,,63.075,60.9,61.9875,,,0.5522388059701493,0.4583333333333333,,0.2537313432835821,0.08333333333333333,0.6268656716417911,0.10704727921498662,0.25411061285500747,0.6363636363636364,0.7931034482758621,
2024,Akron,akron,https://www.sports-reference.com/cbb/schools/akron/men/2024-gamelogs.html,,2023-12-21,,,,,,29,58,0.5,23,41,0.561,6,17,0.353,30,41,0.732,8,28,36,11,3,3,11,17,30,66,0.455,18,36,0.5,12,30,0.4,18,24,0.75,10,22,32,10,7,1,11,28,,,80.475,78.4,79.4375,,,0.5517241379310345,0.5454545454545454,,0.7068965517241379,0.36363636363636365,0.29310344827586204,0.12432890647075445,0.12443438914027148,0.26666666666666666,0.7368421052631579,
2024,Akron,akron,https://www.sports-reference.com/cbb/schools/akron/men/2024-gamelogs.html,,2023-12-30,N,,,,,21,48,0.438,14,27,0.519,7,21,0.333,12,19,0.632,7,23,30,12,3,3,12,13,24,63,0.381,20,48,0.417,4,15,0.267,10,13,0.769,15,20,35,7,10,4,7,19,,,62.025,61.175,61.599999999999994,,,0.5104166666666666,0.4126984126984127,,0.3958333333333333,0.20634920634920634,0.4375,0.17385005432814196,0.09189366590088612,0.25925925925925924,0.6052631578947368,
2024,Akron,akron,https://www.sports-reference.com/cbb/schools/akron/men/2024-gamelogs.html,,2024-01-02,@,,,,,27,55,0.491,19,36,0.528,8,19,0.421,11,14,0.786,8,28,36,8,7,0,12,15,17,53,0.321,13,31,0.419,4,22,0.182,13,16,0.813,6,17,23,5,3,1,13,15,,,65.65,67.6,66.625,,,0.5636363636363636,0.3584905660377358,,0.2545454545454545,0.3018867924528302,0.34545454545454546,0.16293279022403256,0.1766304347826087,0.32,0.8235294117647058,
2024,Akron,akron,https://www.sports-reference.com/cbb/schools/akron/men/2024-gamelogs.html,,2024-01-05,,,,,,28,56,0.5,18,32,0.563,10,24,0.417,17,25,0.68,9,23,32,22,7,4,9,22,24,55,0.436,18,32,0.563,6,23,0.261,13,24,0.542,10,17,27,10,5,0,10,21,,,67.875,66.4,67.1375,,,0.5892857142857143,0.4909090909090909,,0.44642857142857145,0.43636363636363634,0.42857142857142855,0.11707317073170732,0.13089005235602094,0.34615384615384615,0.696969696969697,
2024,Akron,akron,https://www.sports-reference.com/cbb/schools/akron/men/2024-gamelogs.html,,2024-01-09,@,,,,,26,60,0.433,16,32,0.5,10,28,0.357,18,26,0.692,11,19,30,9,8,2,4,21,24,53,0.453,14,30,0.467,10,23,0.435,18,23,0.783,10,28,38,15,2,4,13,17,,,65.35,66.925,66.13749999999999,,,0.5166666666666667,0.5471698113207547,,0.43333333333333335,0.4339622641509434,0.4666666666666667,0.05239030779305829,0.16899577510562236,0.28205128205128205,0.6551724137931034,
2024,Akron,akron,https://www.sports-reference.com/cbb/schools/akron/men/2024-gamelogs.html,,2024-01-12,,,,,,31,65,0.477,26,43,0.605,5,22,0.227,9,12,0.75,6,24,30,16,7,3,5,13,22,60,0.367,16,30,0.533,6,30,0.2,9,14,0.643,7,26,33,11,2,5,15,11,,,69.7,74.65,72.17500000000001,,,0.5153846153846153,0.4166666666666667,,0.18461538461538463,0.23333333333333334,0.3384615384615385,0.06605019815059444,0.1837109614206981,0.1875,0.7741935483870968,
2024,Akron,akron,https://www.sports-reference.com/cbb/schools/akron/men/2024-gamelogs.html,,2024-01-16,,,,,,29,57,0.509,22,40,0.55,7,17,0.412,12,14,0.857,7,22,29,16,7,5,8,11,27,60,0.45,19,39,0.487,8,21,0.381,4,5,0.8,8,18,26,12,6,3,11,14,,,64.65,65.375,65.0125,,,0.5701754385964912,0.5166666666666667,,0.24561403508771928,0.08333333333333333,0.2982456140350877,0.11165387299371946,0.14991482112436116,0.28,0.7333333333333333,
2024,Akron,akron,https://www.sports-reference.com/cbb/schools/akron/men/2024-gamelogs.html,,2024-01-19,@,,,,,29,61,0.475,22,36,0.611,7,25,0.28,12,17,0.706,9,22,31,5,5,7,5,22,21,52,0.404,12,27,0.444,9,25,0.36,20,29,0.69,5,22,27,12,3,3,7,15,,,65.075,67.775,66.42500000000001,,,0.5327868852459017,0.49038461538461536,,0.2786885245901639,0.5576923076923077,0.4098360655737705,0.06749915626054674,0.09618687736173136,0.2903225806451613,0.8148148148148148,
2024,Akron,akron,https://www.sports-reference.com/cbb/schools/akron/men/2024-gamelogs.html,,2024-01-23,,,,,,18,43,0.419,10,25,0.4,8,18,0.444,23,29,0.793,3,26,29,11,6,4,13,17,21,54,0.389,15,33,0.455,6,21,0.286,10,13,0.769,8,23,31,7,6,2,13,22,,,66.775,65.175,65.975,,,0.5116279069767442,0.4444444444444444,,0.6744186046511628,0.24074074074074073,0.4186046511627907,0.18631314940881402,0.1776563033823027,0.11538461538461539,0.7647058823529411,
2024,Akron,akron,https://www.sports-reference.com/cbb/schools/akron/men/2024-gamelogs.html,,2024-01-27,@,,,,,19,51,0.373,9,26,0.346,10,25,0.4,20,25,0.8,8,23,31,7,7,1,8,21,24,47,0.511,17,30,0.567,7,17,0.412,15,22,0.682,5,28,33,16,7,3,9,20,,,62.875,61.45,62.1625,,,0.47058823529411764,0.5851063829787234,,0.49019607843137253,0.46808510638297873,0.49019607843137253,0.1128747795414462,0.13544018058690743,0.2222222222222222,0.8214285714285714,
2024,Akron,akron,https://www.sports-reference.com/cbb/schools/akron/men/2024-gamelogs.html,,2024-01-30,@,,,,,32,64,0.5,26,39,0.667,6,25,0.24,7,8,0.875,9,29,38,14,11,0,10,16,18,50,0.36,16,31,0.516,2,19,0.105,8,14,0.571,3,18,21,4,3,2,14,10,,,68.8,67.65,68.225,,,0.546875,0.38,,0.125,0.28,0.390625,0.12853470437017994,0.1981599433828733,0.3333333333333333,0.90625,
2024,Akron,akron,https://www.sports-reference.com/cbb/schools/akron/men/2024-gamelogs.html,,2024-02-02,,,,,,25,53,0.472,17,29,0.586,8,24,0.333,19,26,0.731,5,26,31,15,3,7,11,18,26,60,0.433,24,48,0.5,2,12,0.167,16,21,0.762,5,24,29,12,3,1,8,20,,,71.35,72.975,72.1625,,,0.5471698113207547,0.45,,0.49056603773584906,0.35,0.4528301886792453,0.1440733464309103,0.10259698621352999,0.1724137931034483,0.8387096774193549,
2024,Akron,akron,https://www.sports-reference.com/cbb/schools/akron/men/2024-gamelogs.html,,2024-02-06,,,,,,25,70,0.357,16,38,0.421,9,32,0.281,9,12,0.75,14,28,42,12,1,2,5,16,16,52,0.308,12,27,0.444,4,25,0.16,11,15,0.733,4,25,29,4,4,7,7,14,,,66.7,62.125,64.4125,,,0.42142857142857143,0.34615384615384615,,0.17142857142857143,0.28846153846153844,0.45714285714285713,0.06195786864931846,0.10586011342155009,0.358974358974359,0.875,
