season,team,team_slug,season_url,gamelog_url
2024,Akron,akron,https://www.sports-reference.com/cbb/schools/akron/men/2024.html,https://www.sports-reference.com/cbb/schools/akron/men/2024-gamelogs.html
2024,Alabama,alabama,https://www.sports-reference.com/cbb/schools/alabama/men/2024.html,https://www.sports-reference.com/cbb/schools/alabama/men/2024-gamelogs.html
2024,Arizona,arizona,https://www.sports-reference.com/cbb/schools/arizona/men/2024.html,https://www.sports-reference.com/cbb/schools/arizona/men/2024-gamelogs.html
2024,Auburn,auburn,https://www.sports-reference.com/cbb/schools/auburn/men/2024.html,https://www.sports-reference.com/cbb/schools/auburn/men/2024-gamelogs.html
2024,BYU,brigham-young,https://www.sports-reference.com/cbb/schools/brigham-young/men/2024.html,https://www.sports-reference.com/cbb/schools/brigham-young/men/2024-gamelogs.html
2024,Baylor,baylor,https://www.sports-reference.com/cbb/schools/baylor/men/2024.html,https://www.sports-reference.com/cbb/schools/baylor/men/2024-gamelogs.html
2024,Boise State,boise-state,https://www.sports-reference.com/cbb/schools/boise-state/men/2024.html,https://www.sports-reference.com/cbb/schools/boise-state/men/2024-gamelogs.html
2024,Clemson,clemson,https://www.sports-reference.com/cbb/schools/clemson/men/2024.html,https://www.sports-reference.com/cbb/schools/clemson/men/2024-gamelogs.html
2024,Colgate,colgate,https://www.sports-reference.com/cbb/schools/colgate/men/2024.html,https://www.sports-reference.com/cbb/schools/colgate/men/2024-gamelogs.html
2024,College of Charleston,college-of-charleston,https://www.sports-reference.com/cbb/schools/college-of-charleston/men/2024.html,https://www.sports-reference.com/cbb/schools/college-of-charleston/men/2024-gamelogs.html
2024,Colorado,colorado,https://www.sports-reference.com/cbb/schools/colorado/men/2024.html,https://www.sports-reference.com/cbb/schools/colorado/men/2024-gamelogs.html
2024,Colorado State,colorado-state,https://www.sports-reference.com/cbb/schools/colorado-state/men/2024.html,https://www.sports-reference.com/cbb/schools/colorado-state/men/2024-gamelogs.html
2024,Creighton,creighton,https://www.sports-reference.com/cbb/schools/creighton/men/2024.html,https://www.sports-reference.com/cbb/schools/creighton/men/2024-gamelogs.html
2024,Dayton,dayton,https://www.sports-reference.com/cbb/schools/dayton/men/2024.html,https://www.sports-reference.com/cbb/schools/dayton/men/2024-gamelogs.html
2024,Drake,drake,https://www.sports-reference.com/cbb/schools/drake/men/2024.html,https://www.sports-reference.com/cbb/schools/drake/men/2024-gamelogs.html
2024,Duke,duke,https://www.sports-reference.com/cbb/schools/duke/men/2024.html,https://www.sports-reference.com/cbb/schools/duke/men/2024-gamelogs.html
2024,Duquesne,duquesne,https://www.sports-reference.com/cbb/schools/duquesne/men/2024.html,https://www.sports-reference.com/cbb/schools/duquesne/men/2024-gamelogs.html
2024,Florida,florida,https://www.sports-reference.com/cbb/schools/florida/men/2024.html,https://www.sports-reference.com/cbb/schools/florida/men/2024-gamelogs.html
2024,Florida Atlantic,florida-atlantic,https://www.sports-reference.com/cbb/schools/florida-atlantic/men/2024.html,https://www.sports-reference.com/cbb/schools/florida-atlantic/men/2024-gamelogs.html
2024,Gonzaga,gonzaga,https://www.sports-reference.com/cbb/schools/gonzaga/men/2024.html,https://www.sports-reference.com/cbb/schools/gonzaga/men/2024-gamelogs.html
2024,Grambling,grambling,https://www.sports-reference.com/cbb/schools/grambling/men/2024.html,https://www.sports-reference.com/cbb/schools/grambling/men/2024-gamelogs.html
2024,Grand Canyon,grand-canyon,https://www.sports-reference.com/cbb/schools/grand-canyon/men/2024.html,https://www.sports-reference.com/cbb/schools/grand-canyon/men/2024-gamelogs.html
2024,Houston,houston,https://www.sports-reference.com/cbb/schools/houston/men/2024.html,https://www.sports-reference.com/cbb/schools/houston/men/2024-gamelogs.html
2024,Howard,howard,https://www.sports-reference.com/cbb/schools/howard/men/2024.html,https://www.sports-reference.com/cbb/schools/howard/men/2024-gamelogs.html
2024,Illinois,illinois,https://www.sports-reference.com/cbb/schools/illinois/men/2024.html,https://www.sports-reference.com/cbb/schools/illinois/men/2024-gamelogs.html
2024,Iowa State,iowa-state,https://www.sports-reference.com/cbb/schools/iowa-state/men/2024.html,https://www.sports-reference.com/cbb/schools/iowa-state/men/2024-gamelogs.html
2024,James Madison,james-madison,https://www.sports-reference.com/cbb/schools/james-madison/men/2024.html,https://www.sports-reference.com/cbb/schools/james-madison/men/2024-gamelogs.html
2024,Kansas,kansas,https://www.sports-reference.com/cbb/schools/kansas/men/2024.html,https://www.sports-reference.com/cbb/schools/kansas/men/2024-gamelogs.html
2024,Kentucky,kentucky,https://www.sports-reference.com/cbb/schools/kentucky/men/2024.html,https://www.sports-reference.com/cbb/schools/kentucky/men/2024-gamelogs.html
2024,Long Beach State,long-beach-state,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2024.html,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2024-gamelogs.html
2024,Longwood,longwood,https://www.sports-reference.com/cbb/schools/longwood/men/2024.html,https://www.sports-reference.com/cbb/schools/longwood/men/2024-gamelogs.html
2024,Marquette,marquette,https://www.sports-reference.com/cbb/schools/marquette/men/2024.html,https://www.sports-reference.com/cbb/schools/marquette/men/2024-gamelogs.html
2024,McNeese,mcneese-state,https://www.sports-reference.com/cbb/schools/mcneese-state/men/2024.html,https://www.sports-reference.com/cbb/schools/mcneese-state/men/2024-gamelogs.html
2024,Michigan State,michigan-state,https://www.sports-reference.com/cbb/schools/michigan-state/men/2024.html,https://www.sports-reference.com/cbb/schools/michigan-state/men/2024-gamelogs.html
2024,Mississippi State,mississippi-state,https://www.sports-reference.com/cbb/schools/mississippi-state/men/2024.html,https://www.sports-reference.com/cbb/schools/mississippi-state/men/2024-gamelogs.html
2024,Montana State,montana-state,https://www.sports-reference.com/cbb/schools/montana-state/men/2024.html,https://www.sports-reference.com/cbb/schools/montana-state/men/2024-gamelogs.html
2024,Morehead State,morehead-state,https://www.sports-reference.com/cbb/schools/morehead-state/men/2024.html,https://www.sports-reference.com/cbb/schools/morehead-state/men/2024-gamelogs.html
2024,NC State,north-carolina-state,https://www.sports-reference.com/cbb/schools/north-carolina-state/men/2024.html,https://www.sports-reference.com/cbb/schools/north-carolina-state/men/2024-gamelogs.html
2024,Nebraska,nebraska,https://www.sports-reference.com/cbb/schools/nebraska/men/2024.html,https://www.sports-reference.com/cbb/schools/nebraska/men/2024-gamelogs.html
2024,Nevada,nevada,https://www.sports-reference.com/cbb/schools/nevada/men/2024.html,https://www.sports-reference.com/cbb/schools/nevada/men/2024-gamelogs.html
2024,New Mexico,new-mexico,https://www.sports-reference.com/cbb/schools/new-mexico/men/2024.html,https://www.sports-reference.com/cbb/schools/new-mexico/men/2024-gamelogs.html
2024,Northwestern,northwestern,https://www.sports-reference.com/cbb/schools/northwestern/men/2024.html,https://www.sports-reference.com/cbb/schools/northwestern/men/2024-gamelogs.html
2024,Oakland,oakland,https://www.sports-reference.com/cbb/schools/oakland/men/2024.html,https://www.sports-reference.com/cbb/schools/oakland/men/2024-gamelogs.html
2024,Oregon,oregon,https://www.sports-reference.com/cbb/schools/oregon/men/2024.html,https://www.sports-reference.com/cbb/schools/oregon/men/2024-gamelogs.html
2024,Purdue,purdue,https://www.sports-reference.com/cbb/schools/purdue/men/2024.html,https://www.sports-reference.com/cbb/schools/purdue/men/2024-gamelogs.html
2024,Saint Mary's,saint-marys-ca,https://www.sports-reference.com/cbb/schools/saint-marys-ca/men/2024.html,https://www.sports-reference.com/cbb/schools/saint-marys-ca/men/2024-gamelogs.html
