round_number,region,round,bracket_game_id,team1,team1_seed,team2,team2_seed,next_game_id,next_slot,source_game_url,team1_championship_rank,team1_championship_score,team1_adjusted_finish_score,team2_championship_rank,team2_championship_score,team2_adjusted_finish_score,baseline_favorite,baseline_underdog,baseline_favorite_score,baseline_underdog_score,baseline_quality_gap
1,South,First Four,FF_01,Alabama State,16,Saint Francis (PA),16,S_R64_01,1,https://www.sports-reference.com/cbb/boxscores/2025-03-18-18-alabama-state.html,68,0,0.9318710047754232,67,1.492537313432836,0.9586302290101144,Saint Francis (PA),Alabama State,0.9586302290101144,0.9318710047754232,0.026759224234691237
1,South,First Four,FF_04,San Diego State,11,North Carolina,11,S_R64_05,1,https://www.sports-reference.com/cbb/boxscores/2025-03-18-21-san-diego-state.html,47,31.34328358208955,2.0281118134643004,43,37.3134328358209,2.1026993567087566,North Carolina,San Diego State,2.1026993567087566,2.0281118134643004,0.07458754324445627
1,East,First Four,FF_02,American,16,Mount St. Mary's,16,E_R64_01,1,https://www.sports-reference.com/cbb/boxscores/2025-03-19-18-american.html,66,2.985074626865672,1.1056510755047515,65,4.477611940298507,1.1254119010914654,Mount St. Mary's,American,1.1254119010914654,1.1056510755047515,0.01976082558671388
1,Midwest,First Four,FF_03,Texas,11,Xavier,11,M_R64_05,1,https://www.sports-reference.com/cbb/boxscores/2025-03-19-21-texas.html,50,26.86567164179105,2.00545864639444,52,23.880597014925375,1.9581783764165,Texas,Xavier,2.00545864639444,1.9581783764165,0.047280269977940215
2,South,Round of 64,S_R64_01,Winner of FF_01,16,Auburn,1,S_R32_01,1,https://www.sports-reference.com/cbb/boxscores/2025-03-20-14-auburn.html,,,,2,98.50746268656717,3.1539289688098515,,,,,
2,South,Round of 64,S_R64_02,Creighton,9,Louisville,8,S_R32_01,2,https://www.sports-reference.com/cbb/boxscores/2025-03-20-12-louisville.html,49,28.35820895522388,2.023600281468194,20,71.64179104477611,2.3834187392818333,Louisville,Creighton,2.3834187392818333,2.023600281468194,0.3598184578136392
2,South,Round of 64,S_R64_03,UC San Diego,12,Michigan,5,S_R32_02,1,https://www.sports-reference.com/cbb/boxscores/2025-03-20-22-michigan.html,9,88.05970149253731,2.7123291244522254,30,56.71641791044776,2.282188087242682,UC San Diego,Michigan,2.7123291244522254,2.282188087242682,0.43014103720954333
2,South,Round of 64,S_R64_04,Yale,13,Texas A&M,4,S_R32_02,2,https://www.sports-reference.com/cbb/boxscores/2025-03-20-19-texas-am.html,29,58.208955223880594,2.309193295203741,39,43.28358208955224,2.182099174278609,Yale,Texas A&M,2.309193295203741,2.182099174278609,0.12709412092513217
2,South,Round of 64,S_R64_05,Winner of FF_04,11,Mississippi,6,S_R32_03,1,https://www.sports-reference.com/cbb/boxscores/2025-03-21-16-mississippi.html,,,,38,44.776119402985074,2.191418581605381,,,,,
2,South,Round of 64,S_R64_06,Lipscomb,14,Iowa State,3,S_R32_03,2,https://www.sports-reference.com/cbb/boxscores/2025-03-21-13-iowa-state.html,46,32.83582089552239,2.037083155862445,18,74.6268656716418,2.4730819740570373,Iowa State,Lipscomb,2.4730819740570373,2.037083155862445,0.4359988181945922
2,South,Round of 64,S_R64_07,New Mexico,10,Marquette,7,S_R32_04,1,https://www.sports-reference.com/cbb/boxscores/2025-03-21-19-marquette.html,31,55.223880597014926,2.2782143186551544,32,53.73134328358209,2.257202698340558,New Mexico,Marquette,2.2782143186551544,2.257202698340558,0.021011620314596247
2,South,Round of 64,S_R64_08,Bryant,15,Michigan State,2,S_R32_04,2,https://www.sports-reference.com/cbb/boxscores/2025-03-21-22-michigan-state.html,58,14.92537313432836,1.771296061812661,11,85.07462686567165,2.583958886204643,Michigan State,Bryant,2.583958886204643,1.771296061812661,0.812662824391982
2,East,Round of 64,E_R64_01,Winner of FF_02,16,Duke,1,E_R32_01,1,https://www.sports-reference.com/cbb/boxscores/2025-03-21-14-duke.html,,,,1,100,3.385481141032093,,,,,
