team,href,team_url,gamelog_url
Akron,/cbb/schools/akron/men/2026.html,https://www.sports-reference.com/cbb/schools/akron/men/2026.html,https://www.sports-reference.com/cbb/schools/akron/men/2026-gamelogs.html
Alabama,/cbb/schools/alabama/men/2026.html,https://www.sports-reference.com/cbb/schools/alabama/men/2026.html,https://www.sports-reference.com/cbb/schools/alabama/men/2026-gamelogs.html
Arizona,/cbb/schools/arizona/men/2026.html,https://www.sports-reference.com/cbb/schools/arizona/men/2026.html,https://www.sports-reference.com/cbb/schools/arizona/men/2026-gamelogs.html
Arkansas,/cbb/schools/arkansas/men/2026.html,https://www.sports-reference.com/cbb/schools/arkansas/men/2026.html,https://www.sports-reference.com/cbb/schools/arkansas/men/2026-gamelogs.html
BYU,/cbb/schools/brigham-young/men/2026.html,https://www.sports-reference.com/cbb/schools/brigham-young/men/2026.html,https://www.sports-reference.com/cbb/schools/brigham-young/men/2026-gamelogs.html
California Baptist,/cbb/schools/california-baptist/men/2026.html,https://www.sports-reference.com/cbb/schools/california-baptist/men/2026.html,https://www.sports-reference.com/cbb/schools/california-baptist/men/2026-gamelogs.html
Clemson,/cbb/schools/clemson/men/2026.html,https://www.sports-reference.com/cbb/schools/clemson/men/2026.html,https://www.sports-reference.com/cbb/schools/clemson/men/2026-gamelogs.html
Duke,/cbb/schools/duke/men/2026.html,https://www.sports-reference.com/cbb/schools/duke/men/2026.html,https://www.sports-reference.com/cbb/schools/duke/men/2026-gamelogs.html
Florida,/cbb/schools/florida/men/2026.html,https://www.sports-reference.com/cbb/schools/florida/men/2026.html,https://www.sports-reference.com/cbb/schools/florida/men/2026-gamelogs.html
Furman,/cbb/schools/furman/men/2026.html,https://www.sports-reference.com/cbb/schools/furman/men/2026.html,https://www.sports-reference.com/cbb/schools/furman/men/2026-gamelogs.html
Georgia,/cbb/schools/georgia/men/2026.html,https://www.sports-reference.com/cbb/schools/georgia/men/2026.html,https://www.sports-reference.com/cbb/schools/georgia/men/2026-gamelogs.html
Gonzaga,/cbb/schools/gonzaga/men/2026.html,https://www.sports-reference.com/cbb/schools/gonzaga/men/2026.html,https://www.sports-reference.com/cbb/schools/gonzaga/men/2026-gamelogs.html
Hawaii,/cbb/schools/hawaii/men/2026.html,https://www.sports-reference.com/cbb/schools/hawaii/men/2026.html,https://www.sports-reference.com/cbb/schools/hawaii/men/2026-gamelogs.html
High Point,/cbb/schools/high-point/men/2026.html,https://www.sports-reference.com/cbb/schools/high-point/men/2026.html,https://www.sports-reference.com/cbb/schools/high-point/men/2026-gamelogs.html
Hofstra,/cbb/schools/hofstra/men/2026.html,https://www.sports-reference.com/cbb/schools/hofstra/men/2026.html,https://www.sports-reference.com/cbb/schools/hofstra/men/2026-gamelogs.html
Houston,/cbb/schools/houston/men/2026.html,https://www.sports-reference.com/cbb/schools/houston/men/2026.html,https://www.sports-reference.com/cbb/schools/houston/men/2026-gamelogs.html
Howard,/cbb/schools/howard/men/2026.html,https://www.sports-reference.com/cbb/schools/howard/men/2026.html,https://www.sports-reference.com/cbb/schools/howard/men/2026-gamelogs.html
Idaho,/cbb/schools/idaho/men/2026.html,https://www.sports-reference.com/cbb/schools/idaho/men/2026.html,https://www.sports-reference.com/cbb/schools/idaho/men/2026-gamelogs.html
Illinois,/cbb/schools/illinois/men/2026.html,https://www.sports-reference.com/cbb/schools/illinois/men/2026.html,https://www.sports-reference.com/cbb/schools/illinois/men/2026-gamelogs.html
Iowa,/cbb/schools/iowa/men/2026.html,https://www.sports-reference.com/cbb/schools/iowa/men/2026.html,https://www.sports-reference.com/cbb/schools/iowa/men/2026-gamelogs.html
Iowa State,/cbb/schools/iowa-state/men/2026.html,https://www.sports-reference.com/cbb/schools/iowa-state/men/2026.html,https://www.sports-reference.com/cbb/schools/iowa-state/men/2026-gamelogs.html
Kansas,/cbb/schools/kansas/men/2026.html,https://www.sports-reference.com/cbb/schools/kansas/men/2026.html,https://www.sports-reference.com/cbb/schools/kansas/men/2026-gamelogs.html
Kennesaw State,/cbb/schools/kennesaw-state/men/2026.html,https://www.sports-reference.com/cbb/schools/kennesaw-state/men/2026.html,https://www.sports-reference.com/cbb/schools/kennesaw-state/men/2026-gamelogs.html
Kentucky,/cbb/schools/kentucky/men/2026.html,https://www.sports-reference.com/cbb/schools/kentucky/men/2026.html,https://www.sports-reference.com/cbb/schools/kentucky/men/2026-gamelogs.html
LIU,/cbb/schools/long-island-university/men/2026.html,https://www.sports-reference.com/cbb/schools/long-island-university/men/2026.html,https://www.sports-reference.com/cbb/schools/long-island-university/men/2026-gamelogs.html
Lehigh,/cbb/schools/lehigh/men/2026.html,https://www.sports-reference.com/cbb/schools/lehigh/men/2026.html,https://www.sports-reference.com/cbb/schools/lehigh/men/2026-gamelogs.html
Louisville,/cbb/schools/louisville/men/2026.html,https://www.sports-reference.com/cbb/schools/louisville/men/2026.html,https://www.sports-reference.com/cbb/schools/louisville/men/2026-gamelogs.html
McNeese,/cbb/schools/mcneese-state/men/2026.html,https://www.sports-reference.com/cbb/schools/mcneese-state/men/2026.html,https://www.sports-reference.com/cbb/schools/mcneese-state/men/2026-gamelogs.html
Miami (FL),/cbb/schools/miami-fl/men/2026.html,https://www.sports-reference.com/cbb/schools/miami-fl/men/2026.html,https://www.sports-reference.com/cbb/schools/miami-fl/men/2026-gamelogs.html
Miami (OH),/cbb/schools/miami-oh/men/2026.html,https://www.sports-reference.com/cbb/schools/miami-oh/men/2026.html,https://www.sports-reference.com/cbb/schools/miami-oh/men/2026-gamelogs.html
Michigan,/cbb/schools/michigan/men/2026.html,https://www.sports-reference.com/cbb/schools/michigan/men/2026.html,https://www.sports-reference.com/cbb/schools/michigan/men/2026-gamelogs.html
Michigan State,/cbb/schools/michigan-state/men/2026.html,https://www.sports-reference.com/cbb/schools/michigan-state/men/2026.html,https://www.sports-reference.com/cbb/schools/michigan-state/men/2026-gamelogs.html
Missouri,/cbb/schools/missouri/men/2026.html,https://www.sports-reference.com/cbb/schools/missouri/men/2026.html,https://www.sports-reference.com/cbb/schools/missouri/men/2026-gamelogs.html
NC State,/cbb/schools/north-carolina-state/men/2026.html,https://www.sports-reference.com/cbb/schools/north-carolina-state/men/2026.html,https://www.sports-reference.com/cbb/schools/north-carolina-state/men/2026-gamelogs.html
Nebraska,/cbb/schools/nebraska/men/2026.html,https://www.sports-reference.com/cbb/schools/nebraska/men/2026.html,https://www.sports-reference.com/cbb/schools/nebraska/men/2026-gamelogs.html
North Dakota State,/cbb/schools/north-dakota-state/men/2026.html,https://www.sports-reference.com/cbb/schools/north-dakota-state/men/2026.html,https://www.sports-reference.com/cbb/schools/north-dakota-state/men/2026-gamelogs.html
Northern Iowa,/cbb/schools/northern-iowa/men/2026.html,https://www.sports-reference.com/cbb/schools/northern-iowa/men/2026.html,https://www.sports-reference.com/cbb/schools/northern-iowa/men/2026-gamelogs.html
Ohio State,/cbb/schools/ohio-state/men/2026.html,https://www.sports-reference.com/cbb/schools/ohio-state/men/2026.html,https://www.sports-reference.com/cbb/schools/ohio-state/men/2026-gamelogs.html
Penn,/cbb/schools/pennsylvania/men/2026.html,https://www.sports-reference.com/cbb/schools/pennsylvania/men/2026.html,https://www.sports-reference.com/cbb/schools/pennsylvania/men/2026-gamelogs.html
Prairie View A&M,/cbb/schools/prairie-view/men/2026.html,https://www.sports-reference.com/cbb/schools/prairie-view/men/2026.html,https://www.sports-reference.com/cbb/schools/prairie-view/men/2026-gamelogs.html
Purdue,/cbb/schools/purdue/men/2026.html,https://www.sports-reference.com/cbb/schools/purdue/men/2026.html,https://www.sports-reference.com/cbb/schools/purdue/men/2026-gamelogs.html
Queens (NC),/cbb/schools/queens-nc/men/2026.html,https://www.sports-reference.com/cbb/schools/queens-nc/men/2026.html,https://www.sports-reference.com/cbb/schools/queens-nc/men/2026-gamelogs.html
SMU,/cbb/schools/southern-methodist/men/2026.html,https://www.sports-reference.com/cbb/schools/southern-methodist/men/2026.html,https://www.sports-reference.com/cbb/schools/southern-methodist/men/2026-gamelogs.html
Saint Louis,/cbb/schools/saint-louis/men/2026.html,https://www.sports-reference.com/cbb/schools/saint-louis/men/2026.html,https://www.sports-reference.com/cbb/schools/saint-louis/men/2026-gamelogs.html
Saint Mary's,/cbb/schools/saint-marys-ca/men/2026.html,https://www.sports-reference.com/cbb/schools/saint-marys-ca/men/2026.html,https://www.sports-reference.com/cbb/schools/saint-marys-ca/men/2026-gamelogs.html
Santa Clara,/cbb/schools/santa-clara/men/2026.html,https://www.sports-reference.com/cbb/schools/santa-clara/men/2026.html,https://www.sports-reference.com/cbb/schools/santa-clara/men/2026-gamelogs.html
