defensive_rank,team,defensive_metric
1,Houston,8.971496686430868
2,Tennessee,6.779349968478798
3,UCLA,6.7439146907331855
4,Gonzaga,6.1428477816530815
5,Oral Roberts,5.153998344521958
6,Florida Atlantic,5.015113803552618
7,Drake,4.918875590279289
8,Texas,4.890079554540967
9,Kent State,4.8808763233251655
10,Iona,4.863092995005494
11,UConn,4.798785154872547
12,Saint Mary's,4.761222610633588
13,Colgate,4.676320351628153
14,Arizona,4.295132463856799
15,Purdue,4.171760102085197
16,Virginia,4.061802882995652
17,Memphis,3.9796024664475715
18,TCU,3.9562669027945616
19,VCU,3.9015912902135925
20,Iowa State,3.816628707292953
21,UC Santa Barbara,3.793410939282558
22,Alabama,3.785095523571794
23,Indiana,3.579712535816156
24,Arkansas,3.5412215018640083
25,Duke,3.457646727581704
26,Boise State,3.389277126914768
27,Furman,3.379896953434779
28,Mississippi State,3.2644056015467235
29,Marquette,3.2257083257249533
30,San Diego State,3.183064168421531
31,Kansas,3.137496030043419
32,College of Charleston,3.1297050646899818
33,Texas A&M,3.018062232199982
34,Louisiana,2.9080713153921747
35,Utah State,2.8082095237613167
36,Xavier,2.807642096282148
37,Kentucky,2.796607632061927
38,Montana State,2.7768078678873493
39,Maryland,2.6515712249012964
40,Illinois,2.593941275090685
41,Grand Canyon,2.566464633892074
42,NC State,2.543969451167173
43,Northwestern,2.543711813251427
44,Miami (FL),2.5192156759638413
45,USC,2.44458104532413
46,Vermont,2.384499346362798
47,Creighton,2.346499373361154
48,UNC Asheville,2.2965786701443367
49,Texas A&M-Corpus Christi,2.2617655496712312
50,Kennesaw State,2.2329972705758885
51,Missouri,2.1762131893917767
52,Northern Kentucky,2.116395125286886
53,Kansas State,2.0922699845074586
54,Providence,1.9593001005796231
55,Nevada,1.9551877144132042
56,Princeton,1.9188267470111953
57,Auburn,1.9119876724645752
58,Pitt,1.72908866192774
59,Arizona State,1.5064955665233883
60,West Virginia,1.402552260752993
61,Michigan State,1.2969547306231406
62,Iowa,1.1216065024360218
63,Howard,0.7757888344794859
64,Penn State,0.6754625557677523
65,FDU,0.6337768525588441
66,Baylor,0.18998272692747298
67,Southeast Missouri State,-0.7993117938293213
68,Texas Southern,-0.9322843502377189
